URL,District,TradeTime,Cycle,Followers,TotalPrice,Price,Square,Living,Drawing,Kitchen,Bath,Floor,Type,Orientation,Contime,Decoration,Structure,LiftRatio,Elevator,Rights,Subway
https://bj.lianjia.com/chengjiao/101106926085.html,丰台,2020.12.28,291,78,1900000,null,40.25,1,1,1,1,低 6,板楼,南,1990,精装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101106097989.html,丰台,2020.12.26,429,101,1960000,null,26.86,1,0,1,1,低 24,塔楼,北,2002,简装,钢混结构,0.25,1,1,1
https://bj.lianjia.com/chengjiao/101106322337.html,丰台,2020.12.26,402,0,1700000,null,28.82,2,1,1,1,高 15,板塔结合,西,2012,简装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109089334.html,丰台,2020.12.25,112,235,1530000,null,45.23,1,1,1,1,中 29,塔楼,北,2003,简装,钢混结构,0.467,1,1,0
https://bj.lianjia.com/chengjiao/101107805057.html,丰台,2020.12.23,216,29,1950000,null,49.3,1,1,1,1,中 25,板楼,东,2012,简装,钢混结构,0.286,1,0,1
https://bj.lianjia.com/chengjiao/101109619022.html,丰台,2020.12.20,57,23,1850000,null,34.15,1,0,1,1,中 26,塔楼,东南,2008,精装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109206146.html,丰台,2020.12.20,96,175,1500000,null,43.49,1,1,0,0,高 29,塔楼,北,2006,简装,钢混结构,0.467,1,0,0
https://bj.lianjia.com/chengjiao/101107539177.html,丰台,2020.12.18,231,55,1800000,null,43.79,1,0,1,1,中 13,塔楼,西,2004,简装,钢混结构,0.158,1,1,0
https://bj.lianjia.com/chengjiao/101109600435.html,丰台,2020.12.18,56,198,1730000,null,41.75,1,1,1,1,顶 6,板楼,南,1982,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101109533732.html,丰台,2020.12.17,62,2,390000,null,34.68,null,null,null,null,地下室 1,板楼,南,未知,毛坯,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109141714.html,丰台,2020.12.14,97,43,1920000,null,39.6,1,1,1,1,中 6,板楼,南,1980,精装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101110067206.html,丰台,2020.12.13,2,0,390000,null,27.9,null,null,null,null,地下室 1,板塔结合,南,2006,其他,混合结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110043363.html,丰台,2020.12.12,3,0,350000,null,32.05,null,null,null,null,顶 2,板楼,南,2017,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109335004.html,丰台,2020.12.10,75,46,1980000,null,49.35,1,1,1,1,低 18,板楼,南,未知,简装,钢混结构,0.5,1,1,0
https://bj.lianjia.com/chengjiao/101109730306.html,丰台,2020.12.09,35,139,1900000,null,34.81,1,1,1,1,中 4,板楼,南,1983,毛坯,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101106921183.html,丰台,2020.12.08,272,79,1950000,null,43.13,1,1,1,1,中 7,板楼,东北,2001,简装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101109571809.html,丰台,2020.12.07,49,122,1900000,null,49.46,1,1,1,1,低 9,板塔结合,西,1998,精装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109719642.html,丰台,2020.12.07,34,3,1800000,null,34.4,1,0,1,1,低 26,塔楼,东南,2008,简装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109948154.html,丰台,2020.12.07,9,0,190000,null,31.53,null,null,null,null,地下室 2,暂无数据,南,2007,其他,未知结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110016667.html,丰台,2020.12.06,1,0,200000,null,41.47,null,null,null,null,地下室 2,暂无数据,南,未知,其他,未知结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109847251.html,丰台,2020.12.29,43,83,1650000,null,28.33,1,0,1,1,高 23,塔楼,北,2001,精装,钢混结构,0.273,1,1,0
https://bj.lianjia.com/chengjiao/101106926085.html,丰台,2020.12.28,291,78,1900000,null,40.25,1,1,1,1,低 6,板楼,南,1990,精装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101106097989.html,丰台,2020.12.26,429,101,1960000,null,26.86,1,0,1,1,低 24,塔楼,北,2002,简装,钢混结构,0.25,1,1,1
https://bj.lianjia.com/chengjiao/101106322337.html,丰台,2020.12.26,402,0,1700000,null,28.82,2,1,1,1,高 15,板塔结合,西,2012,简装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109963615.html,丰台,2020.12.25,26,0,290000,null,26.03,null,null,null,null,地下室,板塔结合,南,2006,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101109089334.html,丰台,2020.12.25,112,235,1530000,null,45.23,1,1,1,1,中 29,塔楼,北,2003,简装,钢混结构,0.467,1,1,0
https://bj.lianjia.com/chengjiao/101107805057.html,丰台,2020.12.23,216,29,1950000,null,49.3,1,1,1,1,中 25,板楼,东,2012,简装,钢混结构,0.286,1,0,1
https://bj.lianjia.com/chengjiao/101109619022.html,丰台,2020.12.20,57,23,1850000,null,34.15,1,0,1,1,中 26,塔楼,东南,2008,精装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109206146.html,丰台,2020.12.20,96,175,1500000,null,43.49,1,1,0,0,高 29,塔楼,北,2006,简装,钢混结构,0.467,1,0,0
https://bj.lianjia.com/chengjiao/101107539177.html,丰台,2020.12.18,231,55,1800000,null,43.79,1,0,1,1,中 13,塔楼,西,2004,简装,钢混结构,0.158,1,1,0
https://bj.lianjia.com/chengjiao/101109600435.html,丰台,2020.12.18,56,198,1730000,null,41.75,1,1,1,1,顶 6,板楼,南,1982,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101109533732.html,丰台,2020.12.17,62,2,390000,null,34.68,null,null,null,null,地下室 1,板楼,南,未知,毛坯,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109141714.html,丰台,2020.12.14,97,43,1920000,null,39.6,1,1,1,1,中 6,板楼,南,1980,精装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101110067206.html,丰台,2020.12.13,2,0,390000,null,27.9,null,null,null,null,地下室 1,板塔结合,南,2006,其他,混合结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110043363.html,丰台,2020.12.12,3,0,350000,null,32.05,null,null,null,null,顶 2,板楼,南,2017,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109335004.html,丰台,2020.12.10,75,46,1980000,null,49.35,1,1,1,1,低 18,板楼,南,未知,简装,钢混结构,0.5,1,1,0
https://bj.lianjia.com/chengjiao/101109730306.html,丰台,2020.12.09,35,139,1900000,null,34.81,1,1,1,1,中 4,板楼,南,1983,毛坯,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101106921183.html,丰台,2020.12.08,272,79,1950000,null,43.13,1,1,1,1,中 7,板楼,东北,2001,简装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101109571809.html,丰台,2020.12.07,49,122,1900000,null,49.46,1,1,1,1,低 9,板塔结合,西,1998,精装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109719642.html,丰台,2020.12.07,34,3,1800000,null,34.4,1,0,1,1,低 26,塔楼,东南,2008,简装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109948154.html,丰台,2020.12.07,9,0,190000,null,31.53,null,null,null,null,地下室 2,暂无数据,南,2007,其他,未知结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110016667.html,丰台,2020.12.06,1,0,200000,null,41.47,null,null,null,null,地下室 2,暂无数据,南,未知,其他,未知结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109847251.html,丰台,2020.12.29,43,83,1650000,null,28.33,1,0,1,1,高 23,塔楼,北,2001,精装,钢混结构,0.273,1,1,0
https://bj.lianjia.com/chengjiao/101106926085.html,丰台,2020.12.28,291,78,1900000,null,40.25,1,1,1,1,低 6,板楼,南,1990,精装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101106097989.html,丰台,2020.12.26,429,101,1960000,null,26.86,1,0,1,1,低 24,塔楼,北,2002,简装,钢混结构,0.25,1,1,1
https://bj.lianjia.com/chengjiao/101106322337.html,丰台,2020.12.26,402,0,1700000,null,28.82,2,1,1,1,高 15,板塔结合,西,2012,简装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109963615.html,丰台,2020.12.25,26,0,290000,null,26.03,null,null,null,null,地下室,板塔结合,南,2006,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101109089334.html,丰台,2020.12.25,112,235,1530000,null,45.23,1,1,1,1,中 29,塔楼,北,2003,简装,钢混结构,0.467,1,1,0
https://bj.lianjia.com/chengjiao/101107805057.html,丰台,2020.12.23,216,29,1950000,null,49.3,1,1,1,1,中 25,板楼,东,2012,简装,钢混结构,0.286,1,0,1
https://bj.lianjia.com/chengjiao/101109619022.html,丰台,2020.12.20,57,23,1850000,null,34.15,1,0,1,1,中 26,塔楼,东南,2008,精装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109206146.html,丰台,2020.12.20,96,175,1500000,null,43.49,1,1,0,0,高 29,塔楼,北,2006,简装,钢混结构,0.467,1,0,0
https://bj.lianjia.com/chengjiao/101107539177.html,丰台,2020.12.18,231,55,1800000,null,43.79,1,0,1,1,中 13,塔楼,西,2004,简装,钢混结构,0.158,1,1,0
https://bj.lianjia.com/chengjiao/101109600435.html,丰台,2020.12.18,56,198,1730000,null,41.75,1,1,1,1,顶 6,板楼,南,1982,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101109533732.html,丰台,2020.12.17,62,2,390000,null,34.68,null,null,null,null,地下室 1,板楼,南,未知,毛坯,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109141714.html,丰台,2020.12.14,97,43,1920000,null,39.6,1,1,1,1,中 6,板楼,南,1980,精装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101110067206.html,丰台,2020.12.13,2,0,390000,null,27.9,null,null,null,null,地下室 1,板塔结合,南,2006,其他,混合结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110043363.html,丰台,2020.12.12,3,0,350000,null,32.05,null,null,null,null,顶 2,板楼,南,2017,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109335004.html,丰台,2020.12.10,75,46,1980000,null,49.35,1,1,1,1,低 18,板楼,南,未知,简装,钢混结构,0.5,1,1,0
https://bj.lianjia.com/chengjiao/101109730306.html,丰台,2020.12.09,35,139,1900000,null,34.81,1,1,1,1,中 4,板楼,南,1983,毛坯,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101106921183.html,丰台,2020.12.08,272,79,1950000,null,43.13,1,1,1,1,中 7,板楼,东北,2001,简装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101109571809.html,丰台,2020.12.07,49,122,1900000,null,49.46,1,1,1,1,低 9,板塔结合,西,1998,精装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109719642.html,丰台,2020.12.07,34,3,1800000,null,34.4,1,0,1,1,低 26,塔楼,东南,2008,简装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109948154.html,丰台,2020.12.07,9,0,190000,null,31.53,null,null,null,null,地下室 2,暂无数据,南,2007,其他,未知结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110016667.html,丰台,2020.12.06,1,0,200000,null,41.47,null,null,null,null,地下室 2,暂无数据,南,未知,其他,未知结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109847251.html,丰台,2020.12.29,43,83,1650000,null,28.33,1,0,1,1,高 23,塔楼,北,2001,精装,钢混结构,0.273,1,1,0
https://bj.lianjia.com/chengjiao/101106926085.html,丰台,2020.12.28,291,78,1900000,null,40.25,1,1,1,1,低 6,板楼,南,1990,精装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101106097989.html,丰台,2020.12.26,429,101,1960000,null,26.86,1,0,1,1,低 24,塔楼,北,2002,简装,钢混结构,0.25,1,1,1
https://bj.lianjia.com/chengjiao/101106322337.html,丰台,2020.12.26,402,0,1700000,null,28.82,2,1,1,1,高 15,板塔结合,西,2012,简装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109963615.html,丰台,2020.12.25,26,0,290000,null,26.03,null,null,null,null,地下室,板塔结合,南,2006,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101109089334.html,丰台,2020.12.25,112,235,1530000,null,45.23,1,1,1,1,中 29,塔楼,北,2003,简装,钢混结构,0.467,1,1,0
https://bj.lianjia.com/chengjiao/101107805057.html,丰台,2020.12.23,216,29,1950000,null,49.3,1,1,1,1,中 25,板楼,东,2012,简装,钢混结构,0.286,1,0,1
https://bj.lianjia.com/chengjiao/101109619022.html,丰台,2020.12.20,57,23,1850000,null,34.15,1,0,1,1,中 26,塔楼,东南,2008,精装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109206146.html,丰台,2020.12.20,96,175,1500000,null,43.49,1,1,0,0,高 29,塔楼,北,2006,简装,钢混结构,0.467,1,0,0
https://bj.lianjia.com/chengjiao/101107539177.html,丰台,2020.12.18,231,55,1800000,null,43.79,1,0,1,1,中 13,塔楼,西,2004,简装,钢混结构,0.158,1,1,0
https://bj.lianjia.com/chengjiao/101109600435.html,丰台,2020.12.18,56,198,1730000,null,41.75,1,1,1,1,顶 6,板楼,南,1982,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101109533732.html,丰台,2020.12.17,62,2,390000,null,34.68,null,null,null,null,地下室 1,板楼,南,未知,毛坯,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109141714.html,丰台,2020.12.14,97,43,1920000,null,39.6,1,1,1,1,中 6,板楼,南,1980,精装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101110067206.html,丰台,2020.12.13,2,0,390000,null,27.9,null,null,null,null,地下室 1,板塔结合,南,2006,其他,混合结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110043363.html,丰台,2020.12.12,3,0,350000,null,32.05,null,null,null,null,顶 2,板楼,南,2017,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109335004.html,丰台,2020.12.10,75,46,1980000,null,49.35,1,1,1,1,低 18,板楼,南,未知,简装,钢混结构,0.5,1,1,0
https://bj.lianjia.com/chengjiao/101109730306.html,丰台,2020.12.09,35,139,1900000,null,34.81,1,1,1,1,中 4,板楼,南,1983,毛坯,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101106921183.html,丰台,2020.12.08,272,79,1950000,null,43.13,1,1,1,1,中 7,板楼,东北,2001,简装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101109571809.html,丰台,2020.12.07,49,122,1900000,null,49.46,1,1,1,1,低 9,板塔结合,西,1998,精装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109719642.html,丰台,2020.12.07,34,3,1800000,null,34.4,1,0,1,1,低 26,塔楼,东南,2008,简装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109948154.html,丰台,2020.12.07,9,0,190000,null,31.53,null,null,null,null,地下室 2,暂无数据,南,2007,其他,未知结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110016667.html,丰台,2020.12.06,1,0,200000,null,41.47,null,null,null,null,地下室 2,暂无数据,南,未知,其他,未知结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109847251.html,丰台,2020.12.29,43,83,1650000,null,28.33,1,0,1,1,高 23,塔楼,北,2001,精装,钢混结构,0.273,1,1,0
https://bj.lianjia.com/chengjiao/101106926085.html,丰台,2020.12.28,291,78,1900000,null,40.25,1,1,1,1,低 6,板楼,南,1990,精装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101106097989.html,丰台,2020.12.26,429,101,1960000,null,26.86,1,0,1,1,低 24,塔楼,北,2002,简装,钢混结构,0.25,1,1,1
https://bj.lianjia.com/chengjiao/101106322337.html,丰台,2020.12.26,402,0,1700000,null,28.82,2,1,1,1,高 15,板塔结合,西,2012,简装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109963615.html,丰台,2020.12.25,26,0,290000,null,26.03,null,null,null,null,地下室,板塔结合,南,2006,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101109089334.html,丰台,2020.12.25,112,235,1530000,null,45.23,1,1,1,1,中 29,塔楼,北,2003,简装,钢混结构,0.467,1,1,0
https://bj.lianjia.com/chengjiao/101107805057.html,丰台,2020.12.23,216,29,1950000,null,49.3,1,1,1,1,中 25,板楼,东,2012,简装,钢混结构,0.286,1,0,1
https://bj.lianjia.com/chengjiao/101109619022.html,丰台,2020.12.20,57,23,1850000,null,34.15,1,0,1,1,中 26,塔楼,东南,2008,精装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109206146.html,丰台,2020.12.20,96,175,1500000,null,43.49,1,1,0,0,高 29,塔楼,北,2006,简装,钢混结构,0.467,1,0,0
https://bj.lianjia.com/chengjiao/101107539177.html,丰台,2020.12.18,231,55,1800000,null,43.79,1,0,1,1,中 13,塔楼,西,2004,简装,钢混结构,0.158,1,1,0
https://bj.lianjia.com/chengjiao/101109600435.html,丰台,2020.12.18,56,198,1730000,null,41.75,1,1,1,1,顶 6,板楼,南,1982,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101109533732.html,丰台,2020.12.17,62,2,390000,null,34.68,null,null,null,null,地下室 1,板楼,南,未知,毛坯,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109141714.html,丰台,2020.12.14,97,43,1920000,null,39.6,1,1,1,1,中 6,板楼,南,1980,精装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101110067206.html,丰台,2020.12.13,2,0,390000,null,27.9,null,null,null,null,地下室 1,板塔结合,南,2006,其他,混合结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110043363.html,丰台,2020.12.12,3,0,350000,null,32.05,null,null,null,null,顶 2,板楼,南,2017,其他,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109335004.html,丰台,2020.12.10,75,46,1980000,null,49.35,1,1,1,1,低 18,板楼,南,未知,简装,钢混结构,0.5,1,1,0
https://bj.lianjia.com/chengjiao/101109730306.html,丰台,2020.12.09,35,139,1900000,null,34.81,1,1,1,1,中 4,板楼,南,1983,毛坯,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101106921183.html,丰台,2020.12.08,272,79,1950000,null,43.13,1,1,1,1,中 7,板楼,东北,2001,简装,混合结构,0.333,1,1,0
https://bj.lianjia.com/chengjiao/101109571809.html,丰台,2020.12.07,49,122,1900000,null,49.46,1,1,1,1,低 9,板塔结合,西,1998,精装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109719642.html,丰台,2020.12.07,34,3,1800000,null,34.4,1,0,1,1,低 26,塔楼,东南,2008,简装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109948154.html,丰台,2020.12.07,9,0,190000,null,31.53,null,null,null,null,地下室 2,暂无数据,南,2007,其他,未知结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110016667.html,丰台,2020.12.06,1,0,200000,null,41.47,null,null,null,null,地下室 2,暂无数据,南,未知,其他,未知结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109847251.html,丰台,2020.12.29,43,83,1650000,null,28.33,1,0,1,1,高 23,塔楼,北,2001,精装,钢混结构,0.273,1,1,0
https://bj.lianjia.com/chengjiao/101106926085.html,丰台,2020.12.28,291,78,1900000,null,40.25,1,1,1,1,低 6,板楼,南,1990,精装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101106097989.html,丰台,2020.12.26,429,101,1960000,null,26.86,1,0,1,1,低 24,塔楼,北,2002,简装,钢混结构,0.25,1,1,1
https://bj.lianjia.com/chengjiao/101106322337.html,丰台,2020.12.26,402,0,1700000,null,28.82,2,1,1,1,高 15,板塔结合,西,2012,简装,钢混结构,null,0,0,1
https://bj.lianjia.com/chengjiao/101109963615.html,丰台,2020.12.25,26,0,290000,null,26.03,null,null,null,null,地下室,板塔结合,南,2006,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101109089334.html,丰台,2020.12.25,112,235,1530000,null,45.23,1,1,1,1,中 29,塔楼,北,2003,简装,钢混结构,0.467,1,1,0
https://bj.lianjia.com/chengjiao/101107805057.html,丰台,2020.12.23,216,29,1950000,null,49.3,1,1,1,1,中 25,板楼,东,2012,简装,钢混结构,0.286,1,0,1
https://bj.lianjia.com/chengjiao/101109619022.html,丰台,2020.12.20,57,23,1850000,null,34.15,1,0,1,1,中 26,塔楼,东南,2008,精装,钢混结构,0.176,1,0,0
https://bj.lianjia.com/chengjiao/101109206146.html,丰台,2020.12.20,96,175,1500000,null,43.49,1,1,0,0,高 29,塔楼,北,2006,简装,钢混结构,0.467,1,0,0
https://bj.lianjia.com/chengjiao/101107539177.html,丰台,2020.12.18,231,55,1800000,null,43.79,1,0,1,1,中 13,塔楼,西,2004,简装,钢混结构,0.158,1,1,0
https://bj.lianjia.com/chengjiao/101109600435.html,丰台,2020.12.18,56,198,1730000,null,41.75,1,1,1,1,顶 6,板楼,南,1982,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101109533732.html,丰台,2020.12.17,62,2,390000,null,34.68,null,null,null,null,地下室 1,板楼,南,未知,毛坯,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109141714.html,丰台,2020.12.14,97,43,1920000,null,39.6,1,1,1,1,中 6,板楼,南,1980,精装,混合结构,0.333,1,1,0
