URL,District,TradeTime,Cycle,Followers,TotalPrice,Price,Square,Living,Drawing,Kitchen,Bath,Floor,Type,Orientation,Contime,Decoration,Structure,LiftRatio,Elevator,Rights,Subway
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110140857.html,朝阳,2020.12.21,1,0,360000,null,33.97,null,null,null,null,地下室 1,板楼,东 西,2008,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101105021516.html,朝阳,2020.12.20,547,166,1830000,null,43.84,2,1,1,1,中 5,板楼,南,1987,简装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101109676952.html,朝阳,2020.12.31,63,1,290000,null,27.94,null,null,null,null,地下室,板楼,南,2011,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110182502.html,朝阳,2020.12.30,5,0,280000,null,29.5,null,null,null,null,地下室,暂无数据,南,未知,其他,未知结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110143107.html,朝阳,2020.12.30,10,63,1550000,null,25.65,1,1,1,1,中 4,板楼,西,1958,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101107700051.html,朝阳,2020.12.30,231,29,1020000,null,48.91,1,0,1,1,低 23,板塔结合,北,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109909909.html,朝阳,2020.12.30,36,0,430000,null,36.66,null,null,null,null,地下室,板楼,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146274.html,朝阳,2020.12.29,111,0,340000,null,29.98,null,null,null,null,地下室,暂无数据,东 南,2014,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101108092514.html,朝阳,2020.12.27,198,155,1750000,null,23.95,1,0,0,1,中 6,板楼,南,1991,精装,混合结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110188631.html,朝阳,2020.12.27,1,0,1130000,null,37.29,1,0,1,1,中 23,塔楼,东,2015,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101107968210.html,朝阳,2020.12.27,207,0,240000,null,33.63,null,null,null,null,地下室,板楼,南,未知,简装,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110140857.html,朝阳,2020.12.21,1,0,360000,null,33.97,null,null,null,null,地下室 1,板楼,东 西,2008,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101105021516.html,朝阳,2020.12.20,547,166,1830000,null,43.84,2,1,1,1,中 5,板楼,南,1987,简装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101109676952.html,朝阳,2020.12.31,63,1,290000,null,27.94,null,null,null,null,地下室,板楼,南,2011,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110182502.html,朝阳,2020.12.30,5,0,280000,null,29.5,null,null,null,null,地下室,暂无数据,南,未知,其他,未知结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110143107.html,朝阳,2020.12.30,10,63,1550000,null,25.65,1,1,1,1,中 4,板楼,西,1958,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101107700051.html,朝阳,2020.12.30,231,29,1020000,null,48.91,1,0,1,1,低 23,板塔结合,北,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109909909.html,朝阳,2020.12.30,36,0,430000,null,36.66,null,null,null,null,地下室,板楼,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146274.html,朝阳,2020.12.29,111,0,340000,null,29.98,null,null,null,null,地下室,暂无数据,东 南,2014,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101108092514.html,朝阳,2020.12.27,198,155,1750000,null,23.95,1,0,0,1,中 6,板楼,南,1991,精装,混合结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110188631.html,朝阳,2020.12.27,1,0,1130000,null,37.29,1,0,1,1,中 23,塔楼,东,2015,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101107968210.html,朝阳,2020.12.27,207,0,240000,null,33.63,null,null,null,null,地下室,板楼,南,未知,简装,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110140857.html,朝阳,2020.12.21,1,0,360000,null,33.97,null,null,null,null,地下室 1,板楼,东 西,2008,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101105021516.html,朝阳,2020.12.20,547,166,1830000,null,43.84,2,1,1,1,中 5,板楼,南,1987,简装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101109676952.html,朝阳,2020.12.31,63,1,290000,null,27.94,null,null,null,null,地下室,板楼,南,2011,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110182502.html,朝阳,2020.12.30,5,0,280000,null,29.5,null,null,null,null,地下室,暂无数据,南,未知,其他,未知结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110143107.html,朝阳,2020.12.30,10,63,1550000,null,25.65,1,1,1,1,中 4,板楼,西,1958,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101107700051.html,朝阳,2020.12.30,231,29,1020000,null,48.91,1,0,1,1,低 23,板塔结合,北,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109909909.html,朝阳,2020.12.30,36,0,430000,null,36.66,null,null,null,null,地下室,板楼,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146274.html,朝阳,2020.12.29,111,0,340000,null,29.98,null,null,null,null,地下室,暂无数据,东 南,2014,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101108092514.html,朝阳,2020.12.27,198,155,1750000,null,23.95,1,0,0,1,中 6,板楼,南,1991,精装,混合结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110188631.html,朝阳,2020.12.27,1,0,1130000,null,37.29,1,0,1,1,中 23,塔楼,东,2015,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101107968210.html,朝阳,2020.12.27,207,0,240000,null,33.63,null,null,null,null,地下室,板楼,南,未知,简装,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110140857.html,朝阳,2020.12.21,1,0,360000,null,33.97,null,null,null,null,地下室 1,板楼,东 西,2008,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101105021516.html,朝阳,2020.12.20,547,166,1830000,null,43.84,2,1,1,1,中 5,板楼,南,1987,简装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101109676952.html,朝阳,2020.12.31,63,1,290000,null,27.94,null,null,null,null,地下室,板楼,南,2011,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110182502.html,朝阳,2020.12.30,5,0,280000,null,29.5,null,null,null,null,地下室,暂无数据,南,未知,其他,未知结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110143107.html,朝阳,2020.12.30,10,63,1550000,null,25.65,1,1,1,1,中 4,板楼,西,1958,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101107700051.html,朝阳,2020.12.30,231,29,1020000,null,48.91,1,0,1,1,低 23,板塔结合,北,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109909909.html,朝阳,2020.12.30,36,0,430000,null,36.66,null,null,null,null,地下室,板楼,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146274.html,朝阳,2020.12.29,111,0,340000,null,29.98,null,null,null,null,地下室,暂无数据,东 南,2014,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101108092514.html,朝阳,2020.12.27,198,155,1750000,null,23.95,1,0,0,1,中 6,板楼,南,1991,精装,混合结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110188631.html,朝阳,2020.12.27,1,0,1130000,null,37.29,1,0,1,1,中 23,塔楼,东,2015,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101107968210.html,朝阳,2020.12.27,207,0,240000,null,33.63,null,null,null,null,地下室,板楼,南,未知,简装,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110140857.html,朝阳,2020.12.21,1,0,360000,null,33.97,null,null,null,null,地下室 1,板楼,东 西,2008,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101105021516.html,朝阳,2020.12.20,547,166,1830000,null,43.84,2,1,1,1,中 5,板楼,南,1987,简装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101109676952.html,朝阳,2020.12.31,63,1,290000,null,27.94,null,null,null,null,地下室,板楼,南,2011,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110182502.html,朝阳,2020.12.30,5,0,280000,null,29.5,null,null,null,null,地下室,暂无数据,南,未知,其他,未知结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110143107.html,朝阳,2020.12.30,10,63,1550000,null,25.65,1,1,1,1,中 4,板楼,西,1958,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101107700051.html,朝阳,2020.12.30,231,29,1020000,null,48.91,1,0,1,1,低 23,板塔结合,北,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109909909.html,朝阳,2020.12.30,36,0,430000,null,36.66,null,null,null,null,地下室,板楼,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146274.html,朝阳,2020.12.29,111,0,340000,null,29.98,null,null,null,null,地下室,暂无数据,东 南,2014,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101108092514.html,朝阳,2020.12.27,198,155,1750000,null,23.95,1,0,0,1,中 6,板楼,南,1991,精装,混合结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110188631.html,朝阳,2020.12.27,1,0,1130000,null,37.29,1,0,1,1,中 23,塔楼,东,2015,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101107968210.html,朝阳,2020.12.27,207,0,240000,null,33.63,null,null,null,null,地下室,板楼,南,未知,简装,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110140857.html,朝阳,2020.12.21,1,0,360000,null,33.97,null,null,null,null,地下室 1,板楼,东 西,2008,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101105021516.html,朝阳,2020.12.20,547,166,1830000,null,43.84,2,1,1,1,中 5,板楼,南,1987,简装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101109676952.html,朝阳,2020.12.31,63,1,290000,null,27.94,null,null,null,null,地下室,板楼,南,2011,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110182502.html,朝阳,2020.12.30,5,0,280000,null,29.5,null,null,null,null,地下室,暂无数据,南,未知,其他,未知结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110143107.html,朝阳,2020.12.30,10,63,1550000,null,25.65,1,1,1,1,中 4,板楼,西,1958,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101107700051.html,朝阳,2020.12.30,231,29,1020000,null,48.91,1,0,1,1,低 23,板塔结合,北,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109909909.html,朝阳,2020.12.30,36,0,430000,null,36.66,null,null,null,null,地下室,板楼,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146274.html,朝阳,2020.12.29,111,0,340000,null,29.98,null,null,null,null,地下室,暂无数据,东 南,2014,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101108092514.html,朝阳,2020.12.27,198,155,1750000,null,23.95,1,0,0,1,中 6,板楼,南,1991,精装,混合结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110188631.html,朝阳,2020.12.27,1,0,1130000,null,37.29,1,0,1,1,中 23,塔楼,东,2015,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101107968210.html,朝阳,2020.12.27,207,0,240000,null,33.63,null,null,null,null,地下室,板楼,南,未知,简装,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110140857.html,朝阳,2020.12.21,1,0,360000,null,33.97,null,null,null,null,地下室 1,板楼,东 西,2008,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101105021516.html,朝阳,2020.12.20,547,166,1830000,null,43.84,2,1,1,1,中 5,板楼,南,1987,简装,混合结构,0.333,1,0,0
https://bj.lianjia.com/chengjiao/101109676952.html,朝阳,2020.12.31,63,1,290000,null,27.94,null,null,null,null,地下室,板楼,南,2011,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110182502.html,朝阳,2020.12.30,5,0,280000,null,29.5,null,null,null,null,地下室,暂无数据,南,未知,其他,未知结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110143107.html,朝阳,2020.12.30,10,63,1550000,null,25.65,1,1,1,1,中 4,板楼,西,1958,简装,混合结构,0.333,1,1,1
https://bj.lianjia.com/chengjiao/101107700051.html,朝阳,2020.12.30,231,29,1020000,null,48.91,1,0,1,1,低 23,板塔结合,北,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101109909909.html,朝阳,2020.12.30,36,0,430000,null,36.66,null,null,null,null,地下室,板楼,南,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101109146274.html,朝阳,2020.12.29,111,0,340000,null,29.98,null,null,null,null,地下室,暂无数据,东 南,2014,毛坯,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101108092514.html,朝阳,2020.12.27,198,155,1750000,null,23.95,1,0,0,1,中 6,板楼,南,1991,精装,混合结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110188631.html,朝阳,2020.12.27,1,0,1130000,null,37.29,1,0,1,1,中 23,塔楼,东,2015,其他,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101107968210.html,朝阳,2020.12.27,207,0,240000,null,33.63,null,null,null,null,地下室,板楼,南,未知,简装,钢混结构,null,0,0,0
https://bj.lianjia.com/chengjiao/101110132988.html,朝阳,2020.12.27,7,0,1200000,null,24.42,1,0,1,1,底 5,板楼,南 北,1994,简装,混合结构,0.5,1,0,0
https://bj.lianjia.com/chengjiao/101108872734.html,朝阳,2020.12.26,131,0,400000,null,38.1,null,null,null,null,地下室,板楼,东 西,2006,其他,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101108983237.html,朝阳,2020.12.24,119,17,1140000,null,47.57,1,0,1,1,顶 23,板塔结合,南,2012,精装,钢混结构,null,0,1,0
https://bj.lianjia.com/chengjiao/101106011154.html,朝阳,2020.12.23,435,33,1560000,null,48.76,1,1,1,1,高 19,板塔结合,东,2009,精装,钢混结构,null,0,1,1
https://bj.lianjia.com/chengjiao/101110122293.html,朝阳,2020.12.23,5,0,550000,null,31.44,null,null,null,null,地下室,板楼,南,2006,简装,钢混结构,null,0,1,1
